gw,element,name,position,team_name,pred_points,actual_points,minutes,in_xi,is_captain,is_vice,chip
28,237,Enzo_Fernández,MID,Chelsea,1.656647,1.0,85.0,0,0,0,
29,67,Đorđe_Petrović,GK,Bournemouth,3.5758128,6.0,90.0,1,0,0,
29,5,Gabriel_dos Santos Magalhães,DEF,Arsenal,4.784578,11.0,90.0,1,0,0,
29,373,Virgil_van Dijk,DEF,Liverpool,3.8135653,1.0,90.0,1,0,0,
29,72,Marcos_Senesi Barón,DEF,Bournemouth,3.4073803,11.0,90.0,1,0,0,
29,82,Antoine_Semenyo,MID,Man City,6.382418,7.0,90.0,1,1,0,
29,449,Bruno_Borges Fernandes,MID,Man Utd,6.036032,8.0,90.0,1,0,1,
29,235,Cole_Palmer,MID,Chelsea,5.6243973,9.0,84.0,1,0,0,
29,119,Bryan_Mbeumo,MID,Man Utd,4.935077,1.0,76.0,1,0,0,
29,237,Enzo_Fernández,MID,Chelsea,3.915821,4.0,78.0,1,0,0,
29,249,João Pedro_Junqueira de Jesus,FWD,Chelsea,4.8531513,19.0,84.0,1,0,0,
29,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.7923374,2.0,90.0,1,0,0,
29,602,Krisztián_Hegyi,GK,West Ham,0.041613854,0.0,0.0,0,0,0,
29,348,Joe_Rodon,DEF,Leeds,2.7074652,2.0,90.0,0,0,0,
29,12,Oleksandr_Zinchenko,DEF,Nott'm Forest,0.1372168,0.0,0.0,0,0,0,
29,100,Junior_Kroupi,FWD,Bournemouth,3.0561254,1.0,16.0,0,0,0,
30,67,Đorđe_Petrović,GK,Bournemouth,3.522368,6.0,90.0,1,0,0,
30,373,Virgil_van Dijk,DEF,Liverpool,5.106427,2.0,90.0,1,0,0,
30,5,Gabriel_dos Santos Magalhães,DEF,Arsenal,5.051607,9.0,90.0,1,0,0,
30,72,Marcos_Senesi Barón,DEF,Bournemouth,3.3007426,10.0,90.0,1,0,0,
30,449,Bruno_Borges Fernandes,MID,Man Utd,6.3163238,10.0,90.0,1,1,0,
30,82,Antoine_Semenyo,MID,Man City,6.2002277,2.0,74.0,1,0,1,
30,235,Cole_Palmer,MID,Chelsea,5.9955983,2.0,90.0,1,0,0,
30,119,Bryan_Mbeumo,MID,Man Utd,5.0796256,2.0,74.0,1,0,0,
30,237,Enzo_Fernández,MID,Chelsea,4.5846567,2.0,90.0,1,0,0,
30,249,João Pedro_Junqueira de Jesus,FWD,Chelsea,6.0036974,2.0,90.0,1,0,0,
30,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.812254,6.0,90.0,1,0,0,
30,602,Krisztián_Hegyi,GK,West Ham,0.028468786,0.0,0.0,0,0,0,
30,348,Joe_Rodon,DEF,Leeds,1.9859178,8.0,90.0,0,0,0,
30,12,Oleksandr_Zinchenko,DEF,Nott'm Forest,0.14977382,0.0,0.0,0,0,0,
30,100,Junior_Kroupi,FWD,Bournemouth,2.1188102,2.0,79.0,0,0,0,
31,67,Đorđe_Petrović,GK,Bournemouth,3.324018,2.0,90.0,1,0,0,
31,373,Virgil_van Dijk,DEF,Liverpool,4.204882,3.0,90.0,1,0,0,
31,224,Marc_Cucurella Saseta,DEF,Chelsea,3.4830852,1.0,90.0,1,0,0,
31,72,Marcos_Senesi Barón,DEF,Bournemouth,3.3150656,1.0,90.0,1,0,0,
31,235,Cole_Palmer,MID,Chelsea,5.6496854,2.0,90.0,1,0,1,
31,449,Bruno_Borges Fernandes,MID,Man Utd,5.6212983,13.0,90.0,1,0,0,
31,515,Morgan_Gibbs-White,MID,Nott'm Forest,4.6779594,8.0,90.0,1,0,0,
